Kayak Slalom,x,,,,
Kayaking,x,,,,
Kendo,x,,,,
Kickboxing,x,,,,
Kickstarter,,,,,
Kite Flying,x,,,,
Kite-Cross,x,,,,
Kitesurfing Freestyle,x,,,,
Kitesurfing Race,x,,,,
Kitesurfing Speed,x,,,,
Kitesurfing Wave,x,,,,
Kneeboarding,x,,,,
Korfball,,,,,
Krumping,,,,,
Kung Fu,x,,,,
Lacrosse,,,,,
Long Jump,x,,,,
Long Track Speed Skating,x,,,,
Long-Distance,x,,,,
Longboarding,x,,,,
Marathon,x,,,,
Marathon Speed Skating,x,,,,
Martial Arts,x,,,,
MC Battle,,,,x,
Metal Music,,,,x,
Middle-Distance,,,,,
Mind Gaming,,,,,x
Minecraft,,,,,
Mixed Martial Arts,,,,,
MMO,,,,,
MOBA,,,,,
Modern Dance,,x,,x,
Modern Pentathlon,x,,,,
Mogul Skiing,,,,,
Moto X Outdoor,x,,,,
Moto2,x,,,,
Moto3,x,,,,
Motocross,x,,,,
Motocross,x,,,,
Motocross World Championship MX1,x,,,,
Motocross World Championship MX2,x,,,,
MotoGP,x,,,,
Motorbike Stuntriding,x,,,,
Motorbike Supermoto,x,,,,
Motoring,x,,,,
Mountain Bike Cross-Country,x,,,,
Mountain Bike Cross-Country Eliminator,x,,,,
Mountain Bike Cross-Country Olympic,x,,,,
Mountain Bike Dirt Jumping,x,,,,
Mountain Bike Downhill,x,,,,
Mountain Bike Freestyle,x,,,,
Mountain Bike Marathon,x,,,,
Mountain Bike Slopestyle,x,,,,
Mountain Bike Trials,x,,,,
Mountain Running,x,,,,
Mountainboarding,x,,,,
Mountaineering,x,,,,
MTB Enduro,x,,,,
Muay Thai,,,,,
Music,,,,x,
Music Festival,,,,x,
Music Various,,,,x,
NASCAR,x,,,,
NASCAR ARCA Series,x,,,,
NASCAR Craftsman Truck Series,x,,,,
NASCAR Mexico,x,,,,
Natural Luge,,,,,
Naturtalente,,,,,
Need for Speed,,,x,,x
Netball,,,,,
Nightlife,,,,x,
Nightside,,,,x,
Nine-Pin Bowling,x,,,,
Nintendo,,,,,x
Nintendo Switch,,,,,x
Non-Contact Sports,,,,,
Nordic Combined,,,,,
Offroad,,,x,,
OG,,,,,
Olympic Distance,x,,,,
Olympic Diving,x,,,,
Orienteering,,,,,
Overwatch,,,,,x
Padel,,,,,
Paintball,x,,,,
Paper Planes,,,,,
Paragliding,x,,,,
Paragliding Accuracy,x,,,,
Paragliding Cross-Country,x,,,,
Paramotor,x,,,,
Parkour,x,,,,
PC,,,,,x
Pelota,x,,,,
Playstation 3,,,,,x
Poker,x,,,,
Pok��mon,,,,,x
Pole Vault,x,,,,
Polo,x,,,,
Pop Music,,,,x,
Pro Evolution Soccer,,,,,x
Proximity Flying,,,,,
PSP,,,,,
Punk,,,,x,
Quad,,,,,
Race Walking 20km,,,,,
Race Walking 50km,,,,,
Racquetball,x,,,,
Rafting,x,,,,
Rally,x,,,,
Rally Raid,x,,,,
Rally Raid Bike,x,,,,
Rally Raid Car,x,,,,
Red Bull Music Mix,,,,,
Red Bull Rookies Cup,,,,,
Reggae,,,,x,
Relays,,,,,
Release Notes,,,,,
Remote-Control Vehicles,,,,,x
Rhythmic Gymnastics,x,,,,
Riot Games,,,,,x
Road Racing,,,x,,
Rocket League,,,x,,x
Rodeo,,,,,
Roller Derby,,,,,
Roller Hockey,,,,,
Rowing,x,,,,
Rowing Coxed Four,x,,,,
Rowing Coxed Pair,x,,,,
Rowing Coxless Four,x,,,,
Rowing Coxless Pair,x,,,,
Rowing Double Scull,x,,,,
Rowing Double Scull Lightweight,x,,,,
Rowing Eight,x,,,,
Rowing Four Lightweight,x,,,,
Rowing Lightweight,x,,,,
Rowing Quad Scull,x,,,,
Rowing Single Scull,x,,,,
RPG,,,,,x
Rugby,x,,,,
Rugby (League/Union),x,,,,
Running,x,,,,
"Running 10,000m",x,,,,
Running 100m,x,,,,
Running 100m Hurdles,x,,,,
Running 110m Hurdles,x,,,,
Running 1500m,x,,,,
Running 3000m Steeplechase,x,,,,
Running 400m Hurdles,x,,,,
"Running 5,000m",x,,,,
Sailing,x,,,,
Sailing 470 Class,x,,,,
Sailing 49er Class,x,,,,
Sailing Finn Class,x,,,,
Sailing Star Class,x,,,,
Sailing Yngling Class,x,,,,
Salsa Dance,,,,x,
Shaolin Kung Fu,,,,,
Shooting Sport,,,,,
Short Track Speed Skating,,,,,
Shot Put,,,,,
